Living Area,Bathrooms,Bedrooms,Lot Size,Age,Fireplace,Price
2.762,2.5,4,0.46,17,1,23.7583
2.618,1.5,3,1.92,1,1,35.7138
2.024,2,3,1.55,25,1,19.8622
1.864,1.5,3,4,154,1,14.8967
1.78,2.5,2,0.1,25,0,13.3688
1.734,2.5,4,0.39,29,1,15.653
2.014,1.5,3,0.31,32,1,17.876
1.314,1.5,2,0.21,21,0,10.3633
2.262,2.5,4,0.53,24,1,18.2334
1.927,2,3,0.33,3,1,20.4661
2.708,2,4,1.2,21,0,7.4422
1.91,2.5,4,0.36,20,0,16.1496
1.48,1.5,3,0.21,19,0,8.9306
1.875,2.5,4,0.71,31,1,15.2491
1.665,2,4,0.29,27,1,16.0007
2.17,2.5,3,0.25,3,1,21.2103
1.822,1.5,3,0.34,12,0,17.1171
1.784,1.5,3,0.51,104,0,17.1171
1.348,2,2,0.36,11,1,16.2612
1.48,1.5,3,0.07,15,1,9.526
1.052,1.5,2,0.23,15,1,13.0239
1.836,2,3,0.35,27,0,12.5029
1.728,1.5,4,1.84,12,0,13.7681
2.214,2.5,3,0.46,22,1,17.5084
2.733,2.5,4,0.47,3,1,32.8491
2.931,3.5,4,0.46,12,1,28.2655
2.9,2.5,4,0.46,1,1,29.2524
2.254,1.5,4,0.43,31,1,14.0658
2.056,2.5,4,0.61,2,1,21.5824
1.212,1,2,2,87,1,16.5957
2.564,2.5,4,0.57,34,1,17.7998
2.176,2,3,0,36,1,26.0887
3.496,2.5,4,1.94,7,1,32.5262
1.332,1,3,0.02,45,1,11.4827
1.244,1.5,4,0.69,53,0,9.6958
1.29,2,3,1.19,16,0,10.4339
1.989,1.5,4,0.39,104,1,14.6609
1.212,1.5,3,1,6,0,15.0798
2.119,2.5,4,0.9,14,1,20.7347
1.808,1.5,2,2,6,1,19.99
1.716,2,4,0.69,4,1,13.3199
1.872,2,3,1.55,16,1,16.7253
1.548,1.5,3,0.31,85,0,9.7682
1.536,2,3,0.15,105,0,7.917
1.38,1,3,0.14,3,0,11.2877
1.08,2,3,1,15,0,7.8191
1.8,1.5,3,0.36,83,0,11.0738
1.754,1,4,0.1,110,0,10.1227
1.17,1,2,0.09,110,0,6.9463
2.088,2,3,0.9,2,1,16.7319
1.89,2,4,0.69,30,1,15.195
1.742,2.5,3,0.4,5,1,18.8497
1.544,2,3,0.4,72,0,10.8002
1.463,1.5,3,0.42,125,0,10.4371
0.84,1,1,0.18,57,1,6.9814
0.988,1,3,0.26,10,0,11.6938
1.68,2.5,3,0.46,4,1,20.0791
1.804,2.5,3,0.37,2,1,16.2631
1.498,1.5,3,0.77,10,0,16.6222
1.656,1.5,3,0.42,18,1,14.6978
1.72,2,3,3.8,27,1,15.682
1.82,2.5,3,2.06,18,1,17.0534
2.076,2.5,3,0.62,13,1,20.9371
1.82,1.5,4,0.34,45,1,15.359
1.468,1,4,0.34,51,0,12.4585
1.637,1.5,3,0.76,54,0,12.2044
2.526,2.5,4,5.89,1,1,22.4668
1.322,1,3,0.67,63,0,11.6589
1.736,1.5,3,0.55,17,1,17.9572
1.836,2,3,0.43,0,1,19.0444
1.643,2.5,3,0.41,3,1,21.3249
1.842,1.5,3,0.53,8,0,18.1399
2.167,2.5,3,0.37,8,1,19.3565
1.475,1.5,3,0.42,21,0,14.8231
3.026,4,4,1.34,1,1,33.7918
1.092,1.5,3,0.35,35,0,12.4669
2.311,2.5,4,0.3,20,1,16.7975
1.256,1.5,3,0.21,19,0,9.0446
1.04,1,3,0.47,12,0,10.123
1.12,1,3,0.11,14,0,9.1386
1.664,1.5,3,0.46,14,0,14.9078
2.268,1,3,3,25,0,12.1973
1.302,2,3,0.25,35,0,12.3827
1.239,1,3,0.37,33,1,10.9259
1.272,1,3,0.38,43,1,10.7766
1.666,1,3,0.18,140,0,19.1746
0.984,1,3,0.3,41,1,14.6161
1.322,1,3,1,130,0,14.0238
1.008,1,3,0.22,38,0,10.7513
1.092,1,3,0.28,41,1,15.743
2.576,2.5,3,0.55,31,1,33.0219
3.25,2.5,3,0.53,23,1,43.2845
1.445,1.5,3,0.2,17,1,24.0857
1.932,2,3,0.5,0,1,25.1259
1.43,2.5,3,0.16,5,0,16.9647
1.474,2,3,0.14,29,1,20.595
1.908,3.5,4,0.24,17,1,33.8596
2.329,2,5,0.17,72,0,26.8783
0.936,1,3,0.24,35,0,11.8585
1.92,1,3,0.27,34,1,11.374
1.675,2.5,2,0.04,18,1,25.7499
1.6,2,4,0.46,35,0,15.2466
1.428,2,3,0.16,85,0,11.4519
1.536,1.5,3,0.01,66,1,24.7839
1.924,2,3,1.04,16,0,18.1516
1.576,1.5,3,0.19,18,0,13.8914
1.288,1,3,0.34,32,0,10.8421
0.84,1,2,0.21,2,0,10.7411
1.11,1,3,0.06,115,1,16.6019
0.784,1,1,0.16,44,0,9.3174
1.98,2,3,0.22,6,0,23.1749
1.29,1.5,3,0.14,16,1,13.722
2,2.5,3,0.39,4,1,27.9522
2.49,2.5,4,0.3,4,1,25.0723
0.952,1,3,0.13,102,0,14.2057
1.56,1,3,0.3,31,0,11.1546
2.932,2.5,4,0.46,31,1,26.2461
2.31,3,2,0.25,23,1,29.8549
1.792,2.5,3,0.29,6,0,15.6164
1.25,1.5,4,0.22,43,0,18.3657
1.5,2,2,0.4,18,1,16.0692
0.864,1.5,3,0.16,39,0,14.7634
1.392,2.5,3,0.13,4,0,23.6215
0.812,1,2,0.1,115,0,10.9249
1.76,3,4,0.16,135,0,13.9104
0.898,1,2,0.61,57,1,10.4328
1.096,1,3,0.3,67,0,10.4984
1.2,2,3,0.56,10,0,9.0446
2.016,1.5,3,0.86,16,0,14.242
1.31,1.5,4,0.24,120,0,5.236
0.96,1,3,0.36,40,0,11.3796
1.056,1,3,0.44,47,0,10.4267
1.512,2,3,0.46,16,0,12.9427
1.89,2.5,3,0.46,27,0,15.195
1.812,2,3,1,16,1,17.2789
1.952,2.5,4,0.55,31,1,13.5526
1.856,1.5,3,0.6,37,1,14.8401
0.924,1,3,3.17,39,0,6.5615
2.346,2.5,4,0.54,1,0,28.3851
1.274,1.5,3,0.44,14,0,13.0782
1.42,1.5,3,0.35,13,0,13.5526
2.296,2.5,4,0.58,19,0,18.4315
2.026,2.5,4,1,1,1,14.6329
0.99,1.5,2,0.08,75,0,5.5851
1.711,1,3,0.45,112,0,11.1809
3.944,1,4,1.64,185,1,8.8092
1.344,2,3,0.92,13,0,2.6049
0.878,1,2,0.14,28,0,11.1702
2.248,2.5,4,0.58,7,1,23.2989
2.107,1,2,0.09,1,1,23.562
1.364,1.5,2,0.07,20,1,11.9389
1.27,1.5,3,0.09,18,1,11.2153
2.12,2.5,4,0.46,9,1,20.2527
1.668,2,3,0.26,18,1,15.0502
2.11,2.5,3,1,9,1,18.8497
1.242,2,2,0.13,3,1,12.9155
1.04,1,3,1.08,39,0,11.7287
2.084,2.5,3,0.43,5,1,20.9371
1.36,1,2,0.44,79,0,9.9903
2.024,2.5,4,0.52,10,1,20.595
1.019,1.5,2,0.24,16,0,12.7055
3.028,2.5,5,0.66,0,1,31.1709
1.242,2,2,0.12,2,1,14.2302
1.528,2.5,3,0.46,8,0,17.7539
2.988,2.5,5,0.5,9,1,27.7828
1.428,2,3,0.39,20,1,19.6512
1.144,1.5,3,0.52,44,1,10.4984
1.666,2.5,3,0.26,2,0,15.7411
4.534,2.5,6,5.08,15,1,29.5268
2.202,2.5,4,1.01,6,1,20.2751
1.184,2,3,0.16,21,0,10.4984
2.601,2.5,4,0.34,19,1,15.5929
2.51,2.5,4,0.44,1,1,22.6705
3.056,2.5,5,0.57,6,1,27.1339
1.592,1.5,3,0.16,18,1,12.6082
1.24,2,3,0.16,18,0,11.36
1.673,2,2,0.15,18,0,10.4556
1.852,2.5,4,0.44,16,0,16.7145
1.184,2,3,0.15,20,1,10.6365
2.641,3,4,0.39,1,1,23.8951
1.184,2,3,0.16,18,0,11.6589
1.952,2,4,0.15,33,1,17.0345
2.038,2.5,3,0.98,13,1,21.8517
1.276,2,2,0.17,26,1,9.7739
0.908,1,2,0.17,21,0,10.5035
2.434,2.5,4,1,20,1,23.3876
0.912,1.5,2,0.17,19,1,10.4651
2.494,2.5,3,0.53,13,1,21.2932
2.96,2.5,4,0.37,1,1,27.8906
1.294,1.5,3,0.32,17,1,16.0571
2.152,2.5,3,0.3,8,0,18.4315
0.988,1,2,0.15,20,0,10.0967
2.712,2.5,4,0.5,1,0,22.0261
2.203,2.5,3,0.57,1,1,18.9665
3.001,2.5,4,0.31,1,1,24.059
2.31,2.5,4,0.47,33,1,16.9407
2.04,2.5,5,0.07,127,0,12.7394
3.144,2.5,4,0.49,1,1,22.2576
1.806,2,4,0.8,40,0,20.051
1.54,1.5,3,0.43,16,0,15.5787
2.011,2.5,4,0.37,14,1,18.6348
3.344,3.5,4,0.36,1,1,21.7868
2.714,3,4,0.55,1,0,20.8635
1.518,1,3,0.04,130,0,8.2019
1.836,2.5,3,0.44,9,0,18.3066
2.066,2.5,3,0.39,2,1,23.6215
1.423,1.5,3,0.34,9,1,15.0849
1.512,2,3,0.77,12,1,17.8216
2.144,2.5,3,0.92,19,1,19.6846
1.61,2,3,0.1,17,0,13.5167
1.196,1.5,4,0.15,56,0,6.555
1.376,1.5,3,0.53,14,1,14.3697
1.834,2,4,0.43,65,0,11.2153
1.72,1.5,3,0.36,19,0,16.331
1.295,1.5,3,0.13,125,0,11.7907
0.8,1,2,0.46,55,0,4.9211
1.868,2.5,3,0.36,13,1,18.7003
1.946,1.5,4,0.38,18,0,13.5823
1.142,2,2,0.76,40,1,11.3514
1.202,1.5,2,0.15,18,0,10.253
1.3,2,3,0.49,227,1,7.5975
1.508,1.5,3,0.31,19,1,12.8434
2.271,2.5,3,0.35,1,1,18.5487
1.592,1.5,3,0.16,18,1,12.6082
0.912,1.5,2,0.16,18,0,9.8333
1.673,2,2,0.15,18,0,10.4556
2.31,2.5,4,0.55,33,1,15.7081
0.912,1.5,2,0.15,20,0,9.2852
2.641,3,4,0.39,1,1,23.8951
1.708,2,2,0.17,14,1,24.2952
0.988,1,2,0.15,20,0,7.5399
2.058,2.5,3,0.31,1,1,22.0765
2.31,2.5,4,0.45,33,1,16.3992
2.434,2.5,4,1,20,1,23.3876
1.612,2,3,0.95,15,1,16.0571
3.081,2.5,4,0.3,1,1,25.1699
1.227,1,3,0.24,115,1,10.2626
2.762,3,4,0.54,1,1,20.3478
3.982,4.5,4,5.61,6,1,35.4739
2.212,2.5,4,0.32,18,1,18.4654
1.173,1,3,0.45,16,1,12.5361
2.604,2.5,4,0.33,0,1,23.7062
1.54,1.5,3,0.43,16,0,15.5787
2.472,3.5,4,0.31,0,1,23.6829
1.184,1.5,2,0.16,18,0,10.7743
2.12,2.5,3,0.54,10,0,21.0743
2.472,2.5,3,0.33,0,1,21.6841
1.592,1.5,3,0.17,18,0,11.8517
1.404,1.5,3,0.48,28,1,11.6795
3.344,2.5,4,0.37,0,1,15.8789
1.69,2.5,3,0.46,5,1,20.0126
1.512,2,3,0.77,12,1,17.8216
1.82,1.5,4,0.54,35,0,10.1375
1.476,2,3,0.66,6,0,10.3672
1.652,1.5,3,0.38,105,1,11.0234
2.331,2.5,4,1,1,1,20.6931
0.96,1,2,0.36,48,0,8.9893
1.54,1,2,0.04,115,0,3.1113
1.668,1.5,4,0.06,115,0,5.9043
0.912,1,3,0.35,37,0,9.4064
0.743,1,3,0.05,105,0,5.0483
3.021,2.5,4,0.72,21,1,25.3433
1.274,2,3,0.48,20,1,14.4335
0.792,1,2,0.4,55,0,5.421
0.96,1,3,0.26,48,0,9.3895
1.6,1,3,0.27,57,0,13.0574
1.15,1,3,0.34,45,0,9.4486
1.456,1.5,3,0.15,155,0,10.9577
2.464,2.5,4,1,2,1,25.3973
1.326,1,3,2,52,0,32.633
2.808,2.5,4,0.6,1,1,28.4154
1.479,1.5,3,0.06,17,0,11.5771
2.498,2.5,4,0.43,38,1,20.1876
1.064,1,3,0.31,45,0,9.9491
1.792,2,3,0.64,17,1,15.195
3.121,3,4,0.62,0,1,27.8936
1.032,1,2,0.12,23,1,10.123
2.668,2.5,4,0.3,0,1,22.3055
2.996,2.5,4,0.35,1,1,23.7716
1.815,2.5,3,0.46,11,1,18.0817
1.281,1,2,0.19,8,0,10.123
2.204,1.5,4,0.48,31,1,18.1516
2.096,3,3,0.28,18,1,19.1988
2.57,2.5,5,0.6,28,1,18.361
2.936,2.5,4,0.33,6,1,23.7367
3.21,2.5,3,1,15,1,29.6708
3.02,2.5,4,0.41,1,1,27.2902
2.086,2.5,4,0.47,17,1,19.6875
1.98,1,4,7.16,205,0,13.9627
1.26,1.5,2,0.06,27,1,12.9155
1.938,2.5,3,0.63,26,1,19.8969
2.284,2.5,4,0.56,18,1,20.595
1.804,2.5,3,0.23,4,1,20.8743
1.375,1.5,2,0.06,20,1,11.24
2.226,2.5,4,0.43,31,1,17.4534
1.48,1.5,3,0.08,21,0,10.6117
1.228,1.5,3,0.21,21,0,10.7743
1.886,1.5,3,0.28,31,1,15.4499
1.479,1.5,2,0.06,20,1,13.6203
3.44,4,5,0.77,1,1,37.9472
2.588,2.5,4,0.35,31,1,18.9736
2.88,2.5,4,0.66,9,1,30.8253
2.133,1.5,4,0.28,34,1,13.4171
1.056,1,2,0.34,5,0,12.0279
1.314,1.5,2,0.06,20,1,11.2825
2.741,2.5,4,0.26,2,1,25.14
1.326,1.5,2,0.06,19,1,12.5361
1.38,1,4,0.89,105,0,9.4868
1.48,1.5,3,0.29,20,1,11.0182
2.05,1.5,4,0.31,33,0,18.0927
2.338,2.5,4,0.47,16,1,23.3714
1.91,2.5,4,0.41,21,0,17.2795
1.652,2,3,0.48,20,1,15.0772
3.542,3.5,4,0.56,1,1,32.9328
0.929,1.5,2,0.18,22,0,8.8092
1.831,2,3,0.47,19,1,18.7026
1.468,1.5,2,1.11,161,1,13.2138
2.039,2.5,4,0.52,18,1,16.3986
1.794,2,3,0.15,37,0,15.992
1.666,1.5,4,0.56,38,0,15.0434
2.388,2.5,4,0.83,20,1,21.653
2.505,2.5,4,0.03,1,1,26.2461
2.284,2.5,4,0.46,17,1,20.6688
1.879,2.5,3,0.27,5,1,19.0284
1.664,2,3,0.49,34,1,15.7476
3.82,4.5,4,1.4,18,1,34.7761
2.809,2.5,4,0.25,2,0,26.2461
2.066,2.5,4,0.65,35,1,19.4877
1.664,2,3,0.51,37,1,16.6335
2.35,2.5,3,0.3,15,1,19.3565
2.116,2.5,3,0.55,20,1,23.2934
1.48,1.5,3,0.08,19,0,10.8593
1.524,1.5,3,0.71,180,0,12.4013
1.034,1.5,3,0.16,15,0,10.0938
1.48,2.5,2,0.18,16,1,9.4064
0.88,1,3,0.34,56,0,10.9042
1.512,2,3,0.25,12,0,15.9175
0.912,1,3,0.51,34,0,9.4667
1.611,2,4,0.17,83,1,15.0434
1.47,2.5,3,0.23,11,1,14.9756
2.748,2.5,4,0.17,0,1,21.8475
1.512,1.5,3,0.18,15,1,17.2795
1.512,1.5,3,0.3,14,0,15.8565
2.039,1,3,0.24,55,0,6.0309
1.48,2.5,2,0.07,16,1,9.8256
2.872,3,5,0.21,0,1,23.8832
1.244,1.5,2,0.28,13,1,14.0269
1.355,1,3,0.47,60,0,9.8423
1.564,2,3,0.24,13,0,13.1165
1.022,1,3,0.44,55,0,9.3174
1.48,1.5,3,0.22,17,1,9.3895
1.904,2,2,2,2,1,21.3249
1.592,1.5,3,0.64,9,1,14.9078
1.332,1.5,3,0.86,9,1,15.5855
0.96,1,3,0.46,19,0,10.1375
2.143,2.5,3,0.1,6,0,26.0485
1.514,1.5,3,0.17,19,0,10.8958
1.986,2.5,3,0.36,1,1,22.8291
2.286,2.5,4,0.49,11,1,21.4749
2.752,3,5,0.94,9,1,25.6417
1.656,2.5,3,0.35,18,1,17.3082
3.37,3,4,0.11,11,1,29.5426
1.932,2.5,4,0.41,4,1,19.3774
1.184,2,3,0.16,19,0,10.0003
2.712,3,5,0.43,1,1,22.233
2.5,3.5,4,0.21,1,1,19.735
0.912,1.5,2,0.16,20,0,9.5708
2.604,2.5,4,0.27,1,1,24.925
1.836,1.5,4,0.36,106,1,15.7055
0.882,1.5,3,0.18,71,0,10.2287
2.002,2.5,4,1.03,14,1,17.8851
0.912,1.5,2,0.16,20,0,9.5708
1.508,1.5,3,0.34,21,0,13.5901
0.882,1.5,3,0.18,71,0,4.4873
2.396,2.5,4,0.27,28,1,18.2056
2.46,2.5,4,0.5,1,1,20.507
2.322,2.5,4,0.42,22,1,20.1928
1.48,1.5,3,0.07,22,0,10.8785
2.306,2.5,3,0.79,1,1,27.0841
2.756,2.5,4,0.39,33,1,18.5902
1.664,2,3,0.49,33,1,15.0581
3.125,2.5,4,0.53,3,1,28.5769
2.835,3,4,0.52,1,1,24.7125
2.464,2.5,4,0.58,42,1,20.324
2.628,2.5,3,1,20,1,20.7751
1.099,1,2,0.39,9,0,12.4939
1.225,1,3,0.24,48,1,8.013
2.764,2.5,4,0.07,1,1,22.7314
0.84,1,2,0.35,50,0,19.9733
1.363,2,3,2.4,39,0,4.9564
1.472,1,3,0.93,28,1,10.695
1.836,2.5,3,1,15,1,15.8338
1.774,2.5,3,0.36,1,1,16.9876
1.59,2.5,3,0.42,3,0,14.744
2.109,2.5,2,0.26,1,0,20.8339
1.47,1.5,3,0.35,12,0,14.8496
2.314,2.5,4,0.01,1,1,19.7956
1.04,1,2,0.17,19,0,6.7951
1.308,1,3,0.46,29,0,12.1798
1.954,1.5,2,0.22,66,1,24.2955
2.498,2.5,4,0.3,14,1,21.7314
1.874,2.5,3,0.54,31,1,14.1029
2.892,3.5,4,7.76,1,1,31.8121
2.4,2,3,2.26,26,0,15.385
1.572,1.5,4,0.06,50,1,8.8092
1.678,2.5,3,0.27,1,1,12.4939
1.388,1,3,0.23,60,0,10.7973
1.512,1.5,4,1,61,1,11.9875
1.653,2,3,0.48,79,0,6.6027
1.758,2.5,3,0.27,1,1,18.2649
2.31,2.5,3,1,18,0,20.648
1.802,2,4,0.97,56,1,10.7695
3.239,3.5,4,2.5,1,1,23.6737
1.44,2,2,0.61,66,1,15.4829
2.03,2.5,3,1,3,1,17.9492
2.097,2.5,3,1.93,10,1,18.9108
